               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078107,            0.027227,            0.040879,             0.13493,             0.21416,              0.1205,            0.039743,            0.055676,            0.019963,            0.032507,             0.00154,             0.00154,             0.08614
                   1,            0.055033,             0.02202,            0.028697,             0.31438,             0.42207,             0.33054,             0.10837,            0.052479,            0.014686,            0.020935,           0.0030893,           0.0030893,            0.072189
                   2,            0.051222,            0.018857,            0.020369,             0.47461,             0.52677,             0.46529,             0.18411,            0.048346,            0.014444,            0.017082,           0.0046359,           0.0046359,            0.058236
                   3,            0.052904,            0.017473,            0.016121,             0.38965,             0.30624,             0.24545,             0.10353,            0.054787,            0.016206,            0.025564,           0.0061776,           0.0061776,            0.044278
                   4,             0.04909,            0.017676,            0.014268,             0.58122,              0.5417,             0.53453,             0.20059,            0.045591,            0.014153,            0.015211,           0.0077125,           0.0077125,            0.030313
                   5,            0.047003,            0.017795,            0.014279,             0.51106,             0.48737,             0.47227,             0.19208,            0.045782,            0.015052,            0.015832,           0.0092385,           0.0092385,            0.016339
                   6,            0.046327,            0.018224,            0.014215,             0.44755,             0.38771,             0.34673,             0.13565,            0.055756,            0.015769,            0.020443,           0.0099203,           0.0099203,           0.0099203
                   7,            0.044708,            0.017602,            0.013609,             0.63673,             0.53146,             0.58957,             0.26694,            0.041518,             0.01441,            0.018108,           0.0099203,           0.0099203,           0.0099203
                   8,            0.042374,            0.016827,            0.011327,             0.59681,             0.53606,             0.54149,             0.25247,            0.047673,            0.014498,            0.015025,           0.0098916,           0.0098916,           0.0098916
                   9,            0.041096,            0.015833,            0.010246,             0.69933,             0.63283,             0.69131,             0.33841,            0.038929,            0.012492,            0.010379,           0.0098586,           0.0098586,           0.0098586
                  10,            0.039593,            0.015379,           0.0092327,             0.76788,              0.6725,             0.75685,             0.37783,            0.037743,            0.012327,           0.0096882,           0.0098213,           0.0098213,           0.0098213
                  11,            0.038418,            0.014879,           0.0083528,             0.75561,             0.61956,             0.70221,             0.37685,            0.037325,            0.013074,           0.0095019,           0.0097798,           0.0097798,           0.0097798
                  12,            0.036946,            0.014364,           0.0079938,             0.81268,             0.78031,             0.83515,             0.46851,            0.034071,            0.010993,           0.0064578,            0.009734,            0.009734,            0.009734
                  13,            0.036853,            0.014275,           0.0075289,             0.84833,             0.76699,             0.85758,             0.48063,            0.033601,            0.010332,           0.0065105,            0.009684,            0.009684,            0.009684
                  14,            0.035559,              0.0139,           0.0066704,             0.80806,             0.79615,              0.8517,             0.46355,            0.033962,            0.010257,           0.0061169,           0.0096299,           0.0096299,           0.0096299
                  15,            0.034947,            0.013363,           0.0062059,             0.88098,             0.79061,             0.87641,             0.47783,            0.033765,           0.0099728,            0.006008,           0.0095717,           0.0095717,           0.0095717
                  16,            0.034068,            0.013266,           0.0061425,              0.8464,             0.80045,             0.87027,             0.50945,            0.032502,            0.010209,           0.0065986,           0.0095095,           0.0095095,           0.0095095
                  17,             0.03386,            0.012919,           0.0060591,             0.87783,             0.74313,              0.8522,              0.4903,            0.033072,            0.010555,           0.0055569,           0.0094434,           0.0094434,           0.0094434
                  18,            0.032995,            0.012839,           0.0056292,             0.88677,             0.84662,             0.90952,             0.55917,            0.030029,           0.0096647,            0.004987,           0.0093733,           0.0093733,           0.0093733
                  19,            0.032585,            0.012652,           0.0052905,             0.85622,             0.81962,             0.88922,             0.53502,            0.031398,           0.0098172,            0.006002,           0.0092995,           0.0092995,           0.0092995
                  20,            0.032439,            0.012434,           0.0053258,             0.86715,             0.85949,             0.91515,             0.56044,            0.030025,           0.0092035,           0.0042954,           0.0092219,           0.0092219,           0.0092219
                  21,            0.031626,            0.012085,           0.0048454,             0.86097,             0.84273,             0.91389,             0.57282,            0.029251,           0.0092312,           0.0060682,           0.0091406,           0.0091406,           0.0091406
                  22,             0.03152,            0.012063,           0.0048987,             0.86863,             0.84358,              0.9037,             0.56207,            0.029303,           0.0093086,           0.0071501,           0.0090557,           0.0090557,           0.0090557
                  23,            0.030859,            0.012126,            0.004896,             0.86297,             0.86213,             0.91641,             0.58014,            0.029053,           0.0093164,           0.0048848,           0.0089673,           0.0089673,           0.0089673
                  24,            0.030351,            0.011621,           0.0044405,             0.92044,             0.82735,             0.90993,             0.57682,            0.029165,           0.0089925,           0.0068269,           0.0088755,           0.0088755,           0.0088755
                  25,            0.030342,            0.011497,            0.004398,              0.8887,             0.88031,              0.9262,             0.59704,            0.028088,           0.0086475,           0.0050339,           0.0087804,           0.0087804,           0.0087804
