               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073866,            0.031307,            0.038764,             0.21588,             0.37175,             0.21421,            0.083378,            0.051119,            0.016608,            0.027367,           0.0033286,           0.0033286,            0.070043
                   1,            0.056116,             0.02574,            0.025273,             0.41936,             0.41079,             0.38193,             0.15075,            0.047712,            0.015187,            0.017962,           0.0066604,           0.0066604,            0.040041
                   2,            0.054467,            0.025122,            0.020611,             0.39056,             0.42946,              0.3506,             0.14413,             0.04716,            0.016164,            0.019091,           0.0099864,           0.0099864,            0.010034
                   3,            0.052195,            0.025136,            0.020294,             0.60166,             0.47257,             0.51702,             0.21252,            0.045623,            0.015389,            0.014359,             0.00998,             0.00998,             0.00998
                   4,            0.048223,            0.023548,            0.016416,             0.64835,             0.54754,             0.60562,             0.28445,            0.040601,            0.014439,            0.011873,             0.00998,             0.00998,             0.00998
                   5,            0.046383,            0.023062,            0.014524,             0.71607,             0.55981,             0.64185,              0.2947,            0.040939,            0.013313,            0.010183,           0.0099645,           0.0099645,           0.0099645
                   6,            0.044823,             0.02249,            0.013324,             0.71365,             0.65987,             0.70479,             0.35505,            0.038469,            0.013328,           0.0093788,           0.0099446,           0.0099446,           0.0099446
                   7,            0.043362,            0.021992,            0.011847,             0.75051,             0.71064,              0.7686,             0.38641,             0.03708,            0.012199,           0.0073865,           0.0099203,           0.0099203,           0.0099203
                   8,            0.041828,            0.020474,             0.01098,             0.78454,             0.74168,             0.80185,              0.4196,            0.035101,            0.011683,           0.0069825,           0.0098916,           0.0098916,           0.0098916
                   9,            0.041268,            0.021117,            0.010432,             0.82808,              0.7194,             0.80989,             0.43209,            0.035445,            0.011526,           0.0066324,           0.0098586,           0.0098586,           0.0098586
                  10,            0.040925,            0.020311,            0.010299,             0.81691,             0.75357,             0.83212,             0.45667,            0.034255,            0.011202,           0.0059454,           0.0098213,           0.0098213,           0.0098213
                  11,            0.039356,            0.019516,            0.009208,             0.82702,             0.76585,             0.83584,             0.45267,            0.034567,            0.011101,           0.0058753,           0.0097798,           0.0097798,           0.0097798
                  12,            0.038475,            0.019508,           0.0088609,             0.80931,             0.81233,              0.8572,             0.47495,            0.033655,            0.010689,           0.0051232,            0.009734,            0.009734,            0.009734
                  13,            0.038319,            0.018961,           0.0084143,             0.85849,             0.77205,             0.86476,             0.49244,            0.032681,            0.010504,            0.005172,            0.009684,            0.009684,            0.009684
                  14,            0.037639,            0.019623,            0.008033,             0.86454,             0.81578,             0.88365,             0.50817,            0.032391,            0.010225,           0.0039255,           0.0096299,           0.0096299,           0.0096299
                  15,            0.037192,            0.019093,           0.0074474,             0.84205,             0.79764,             0.86809,             0.48627,            0.032403,            0.010591,           0.0044371,           0.0095717,           0.0095717,           0.0095717
                  16,            0.036485,            0.018008,           0.0076002,             0.81009,             0.82064,             0.87063,             0.51157,            0.031652,            0.010404,           0.0050693,           0.0095095,           0.0095095,           0.0095095
                  17,            0.036073,             0.01806,           0.0072807,             0.86618,             0.81471,             0.89643,              0.5263,            0.030889,            0.010247,           0.0043282,           0.0094434,           0.0094434,           0.0094434
                  18,            0.035561,            0.017883,           0.0069719,             0.91041,             0.80505,              0.9006,             0.53901,            0.030559,            0.010015,           0.0038989,           0.0093733,           0.0093733,           0.0093733
                  19,            0.034774,            0.017573,           0.0066341,             0.88985,             0.85834,             0.91949,             0.55888,            0.029786,           0.0095466,           0.0036361,           0.0092995,           0.0092995,           0.0092995
                  20,            0.034684,            0.016486,           0.0064219,             0.87599,             0.86168,              0.9143,             0.54285,            0.030457,           0.0095638,           0.0036627,           0.0092219,           0.0092219,           0.0092219
                  21,            0.034273,            0.016828,           0.0063847,              0.8824,             0.88031,             0.92907,             0.57365,             0.02937,           0.0091865,            0.003261,           0.0091406,           0.0091406,           0.0091406
                  22,            0.033367,             0.01594,            0.005913,             0.89796,             0.85826,             0.92414,             0.57911,            0.028982,           0.0093054,           0.0032179,           0.0090557,           0.0090557,           0.0090557
                  23,            0.033518,            0.016416,           0.0057472,             0.89242,             0.87272,              0.9306,             0.58625,            0.028376,           0.0090644,           0.0034183,           0.0089673,           0.0089673,           0.0089673
                  24,            0.033047,            0.016244,            0.005587,             0.89869,             0.88348,             0.93092,             0.58799,            0.028162,           0.0089604,           0.0034103,           0.0088755,           0.0088755,           0.0088755
                  25,            0.032789,             0.01637,           0.0057801,             0.88553,             0.88586,             0.93149,             0.57919,            0.028544,           0.0090361,           0.0035733,           0.0087804,           0.0087804,           0.0087804
