               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077158,            0.025959,            0.038704,             0.23965,             0.29713,             0.22095,             0.08592,            0.053078,            0.016443,            0.028341,            0.070194,           0.0033118,           0.0033118
                   1,            0.053638,             0.01995,            0.024048,              0.4066,             0.48816,             0.46449,             0.17248,            0.047271,            0.013399,            0.019199,            0.040128,           0.0065794,           0.0065794
                   2,            0.050307,            0.017784,            0.017317,              0.3803,             0.33055,             0.28184,              0.1163,            0.053864,            0.015974,            0.022816,            0.009996,           0.0097809,           0.0097809
                   3,            0.046638,            0.017533,            0.014808,             0.46742,             0.49271,             0.47331,             0.20944,             0.04506,            0.015687,            0.020263,            0.009703,            0.009703,            0.009703
                   4,            0.044793,            0.016963,            0.012854,             0.63543,              0.5606,             0.60023,             0.29526,            0.042234,             0.01333,            0.013573,            0.009703,            0.009703,            0.009703
                   5,            0.042899,            0.016218,            0.011037,             0.70992,              0.6288,              0.6843,             0.35794,            0.038273,            0.012963,            0.010217,            0.009604,            0.009604,            0.009604
                   6,            0.040723,            0.015264,           0.0095546,             0.72326,             0.62681,             0.68064,              0.3529,            0.038683,             0.01278,            0.010808,            0.009505,            0.009505,            0.009505
                   7,            0.039473,            0.015271,           0.0088353,             0.75812,             0.71076,             0.75329,              0.3811,            0.038086,            0.011561,           0.0084558,            0.009406,            0.009406,            0.009406
                   8,            0.038502,            0.014491,           0.0079697,              0.7492,             0.70886,             0.77393,             0.42793,            0.036392,            0.011364,           0.0084656,            0.009307,            0.009307,            0.009307
                   9,            0.037217,            0.014206,            0.007358,             0.81793,             0.71939,             0.79455,             0.44902,            0.035107,            0.011101,           0.0096768,            0.009208,            0.009208,            0.009208
                  10,            0.036025,            0.013888,           0.0065998,             0.73253,             0.74144,             0.78258,             0.45982,            0.033518,            0.011767,           0.0089688,            0.009109,            0.009109,            0.009109
                  11,            0.035397,            0.013561,           0.0062874,             0.86202,             0.80633,             0.87882,             0.51461,            0.032387,           0.0096034,           0.0055857,             0.00901,             0.00901,             0.00901
                  12,            0.034527,            0.012986,           0.0058162,              0.8607,             0.79809,             0.87669,             0.52651,            0.032039,            0.010271,            0.006062,            0.008911,            0.008911,            0.008911
                  13,            0.034045,            0.012832,           0.0053631,              0.8384,             0.82531,             0.87137,             0.52482,            0.031364,            0.010187,           0.0067863,            0.008812,            0.008812,            0.008812
                  14,            0.033512,            0.012573,           0.0051304,             0.87811,             0.82763,              0.8877,             0.54553,            0.031079,            0.009485,           0.0060316,            0.008713,            0.008713,            0.008713
                  15,             0.03229,            0.012442,           0.0047194,             0.86441,             0.83391,             0.89587,             0.53115,            0.031299,           0.0093599,           0.0051448,            0.008614,            0.008614,            0.008614
                  16,            0.031925,            0.012305,           0.0047765,             0.89619,             0.83664,             0.90179,             0.56432,            0.030191,           0.0094889,           0.0046715,            0.008515,            0.008515,            0.008515
                  17,             0.03165,            0.011796,           0.0045382,             0.89407,             0.86562,             0.92824,             0.58856,              0.0284,           0.0087528,           0.0041764,            0.008416,            0.008416,            0.008416
                  18,             0.03084,            0.011598,           0.0042563,              0.8943,             0.86672,             0.91833,             0.58462,            0.029069,           0.0090348,           0.0052023,            0.008317,            0.008317,            0.008317
